CODIGO;CONTEXTO
W000001;1
W000002;1
W000003;1
W000004;1
W000005;1
W000006;1
W000007;1
W000008;1
W000009;1
W000010;1
W000012;2
W000013;2
W000014;2
W000015;2
W000016;2
W000017;2
W000018;2
W000019;2
W000020;2
W000021;2
W000111;3
W000112;3
W000113;3
W000114;3
W000115;3
W000116;3
W000117;3
W000118;3
W000119;3
W000120;3
W000156;4
W000157;4
W000158;4
W000159;4
W000160;4
W000161;4
W000162;4
W000163;4
W000164;4
W000165;4
W000236;5
W000237;5
W000238;5
W000239;5
W000240;5
W000241;5
W000242;5
W000243;5
W000244;5
W000245;5
W000263;6
W000264;6
W000265;6
W000266;6
W000267;6
W000268;6
W000269;6
W000270;6
W000271;6
W000272;6
W000273;6
W000274;6
W000275;6
W000276;6
W000277;6
W000278;6
W000279;6
W000280;6
W000281;6
W000282;6
W000283;6
W000284;6
W000285;6
W000286;6
W000287;6
W000292;7
W000293;7
W000294;7
W000295;7